iter	Passed	Remaining
1142	4203	3151
1143	4207	3148
1144	4210	3144
1145	4214	3140
1146	4217	3136
1147	4221	3132
1148	4224	3128
1149	4228	3125
1150	4231	3121
1151	4235	3117
1152	4238	3113
1153	4242	3109
1154	4245	3106
1155	4249	3102
1156	4253	3098
1157	4257	3095
1158	4261	3092
1159	4265	3088
1160	4268	3084
1161	4271	3080
1162	4276	3077
1163	4280	3074
1164	4283	3070
1165	4286	3066
1166	4290	3062
1167	4294	3059
1168	4298	3055
1169	4302	3051
1170	4305	3048
1171	4309	3044
1172	4313	3040
1173	4316	3037
1174	4320	3033
1175	4324	3030
1176	4327	3026
1177	4331	3022
1178	4335	3018
1179	4338	3015
1180	4342	3011
1181	4345	3007
1182	4349	3003
1183	4353	3000
1184	4356	2996
1185	4360	2992
1186	4363	2988
1187	4367	2985
1188	4371	2981
1189	4374	2977
1190	4378	2974
1191	4381	2970
1192	4385	2966
1193	4389	2963
1194	4393	2959
1195	4397	2955
1196	4400	2952
1197	4404	2948
1198	4408	2944
1199	4411	2941
1200	4415	2937
1201	4419	2933
1202	4423	2930
1203	4427	2926
1204	4430	2923
1205	4434	2919
1206	4438	2915
1207	4442	2912
1208	4445	2908
1209	4449	2905
1210	4453	2901
1211	4456	2897
1212	4460	2894
1213	4464	2890
1214	4468	2886
1215	4472	2883
1216	4476	2879
1217	4479	2876
1218	4483	2872
1219	4487	2868
1220	4490	2865
1221	4494	2861
1222	4497	2857
1223	4501	2853
1224	4505	2850
1225	4508	2846
1226	4512	2842
1227	4516	2839
1228	4519	2835
1229	4523	2831
1230	4526	2827
1231	4531	2824
1232	4535	2821
1233	4539	2817
1234	4543	2814
1235	4546	2810
1236	4550	2806
1237	4554	2803
1238	4557	2799
1239	4561	2795
1240	4564	2791
1241	4568	2788
1242	4571	2784
1243	4575	2780
1244	4579	2777
1245	4582	2773
1246	4586	2769
1247	4590	2765
1248	4594	2762
1249	4597	2758
1250	4601	2754
1251	4604	2751
1252	4608	2747
