순번,매장명,사업자번호,주소
218,빽다방 뚝섬역점,2830702072,서울특별시 성동구 아차산로 48 (성수동1가 )1층
219,마라부엌 행당점,4700402850,서울특별시 성동구 행당로15길 4 (행당동 )
220,정성이 가득찬 집밥,7491201067,서울특별시 성동구 마장로 203-1 (홍익동 )1층
221,족팔계,5111831482,"서울특별시 성동구 용답중앙15길 2 (용답동, 정치과의원 )1층"
222,스시메이 성수점,8345300296,"서울특별시 성동구 연무장7길 7-1 (성수동2가, 린빌딩 )2층"
223,우주식탁,3681501646,"서울특별시 성동구 한림말길 31 (옥수동, 옥수삼성아파트 상가 상가동)제비08호"
224,반장즉석떡볶이 금호점,7873201204,"서울특별시 성동구 행당로6길 2 (금호동1가, 벽산아파트(종합사회복지관상가) 종합사회복지관상가)1층 104호"
225,송탄최네집부대찌개,2201031902,"서울특별시 성동구 독서당로48길 9 (금호동4가, 장현민 )1층"
226,칠구네 신림동 백순대&순대국 왕십리점,8153600416,"서울특별시 성동구 마조로5길 4-11 (행당동, 정서빌딩 )1층"
227,청담파스타,4971901113,"서울특별시 성동구 마장로 137 (상왕십리동, 텐즈힐 214동, 403동(상가))1층 129호"
228,김선생 불닭발 성동점 ,6617500365,"서울특별시 성동구 무학로6길 50 (도선동, 성동삼성쉐르빌 101동)1층 162호"
229,김사부의 곱창명가 성동점,4600302763,"서울특별시 성동구 무학로6길 50 (도선동, 성동삼성쉐르빌 101동)1층 161호"
230,돈이야 서울숲점,2063171427,서울특별시 성동구 성덕정길 48 (성수동1가 )1층
231,수비드 김치찜 왕십리점,8042801502,"서울특별시 성동구 마장로 137 (상왕십리동, 텐즈힐 201동)401돝 1층 105호"
232,달리당런더풀 1유로프로젝트점,5710802452,서울특별시 성동구 송정18길 1-1 (송정동 )1층 103호
233,육회바른연어 상왕십리점,6932101276,서울특별시 성동구 무학로2길 17 (도선동 )1층
234,아아수혈 상왕십리점,8701402189,"서울특별시 성동구 왕십리로 410 (하왕십리동, 센트라스 101동)제비동 104호"
235,왕십리누룽지통닭구이,2250952100,서울특별시 성동구 고산자로 297 (마장동 )1층
236,투고샐러드 한양대점,5272700235,"서울특별시 성동구 사근동길 6 (행당동, 한양제일빌딩 )1층"
237,일오닭갈비,7981400439,서울특별시 성동구 무학봉15길 26-1 (하왕십리동 )1층 3호
238,카페위고위고,6971601691,서울특별시 성동구 무학로6길 7 (홍익동 )1층
239,육회바른연어 왕십리점,1042052259,"서울특별시 성동구 왕십리로 287-1 (행당동, 장원이불수예 )1층"
240,싸움의고수 상왕십리점,8345500679,"서울특별시 성동구 왕십리로 410 (하왕십리동, 센트라스 102동)제아이동 1층 168호"
241,밥풀릭스 건대점,5476300620,"서울특별시 성동구 동일로 143 (성수동2가, 성수1차 대우아파트 )1층 102호"
242,몽땅부대찌개 본점,1141823670,서울특별시 성동구 성수이로 37 (성수동2가 )2층
243,크로플퀸,7771901756,서울특별시 성동구 광나루로4가길 7 (성수동2가 )2층
244,요리왕,2062679594,서울특별시 성동구 연무장길 120 (성수동2가 )1층
245,노브랜드버거 신금호역점,7608501393,"서울특별시 성동구 무수막길 97 (금호동2가, 김약국 )1층"
246,참말로 좋수닭 한양대점,8010900406,"서울특별시 성동구 마조로 17 (행당동, 한양시장 )1층 12호"
247,퍼주에,6733401025,서울특별시 성동구 독서당로47길 12-1 (금호동4가 )지1층
248,바스버거 성수점,1068705191,서울특별시 성동구 왕십리로8길 16 (성수동1가 )1층
249,춘배버거,3183701134,서울특별시 성동구 왕십리로4길 13-1 (성수동1가 )1층 101호
